year,maize_yield_kg_ha
1960,1253.3
1961,1222.2
1962,1250.0
1963,1171.4
1964,1071.3
1965,1079.2
1966,1200.0
1967,1253.6
1968,1274.1
1969,1225.0
1970,1217.4
1971,1253.8
1972,1289.7
1973,1344.8
1974,1413.8
1975,1635.2
1976,1626.1
1977,1455.7
1978,1300.0
1979,1200.0
1980,1578.6
1981,2071.2
1982,1769.2
1983,1443.7
1984,1722.2
1985,2034.3
1986,1716.9
1987,1903.0
1988,1852.6
1989,1659.1
1990,1832.1
1991,1727.1
1992,1554.9
1993,2040.0
1994,1875.9
1995,1450.6
1996,1471.3
1997,1669.7
1998,1481.7
1999,1440.0
2000,1701.2
2001,1512.6
2002,1622.4
2003,1929.3
2004,1640.5
2005,1719.7
2006,1813.2
2007,1392.5
2008,1294.3
2009,1725.1
2010,1584.0
2011,1584.0
